track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cover_url,spotify_search_link,youtube_search_url,youtube_url,mood_category
the perfect pair,beabadoobee,1,2022,7,15,0,0,0,0,0,0,0,0,120,Unknown,Major,50,51,18,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273384d10f967c2b914de7e2713,https://open.spotify.com/track/41P6Tnd8KIHqON0QIydx6a,,https://www.youtube.com/watch?v=HwtEBQiuX-c,calm and peaceful
From the Subway Train,Vansire,1,2018,4,26,0,0,0,0,0,0,0,0,120,Unknown,Major,50,47,20,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273a788765bdda04106bd7b0d29,https://open.spotify.com/track/0qOCy2LqvdkMora7eZsJhQ,,https://www.youtube.com/watch?v=-kEalcW_cFI,calm and peaceful
Piggypink,Hotel Ugly,1,2021,3,31,0,0,0,0,0,0,0,0,120,Unknown,Major,50,49,22,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273cbf0bdcd9873bb26d6db072b,https://open.spotify.com/track/7oe04qLMdQxHXhcGIfShXf,,https://www.youtube.com/watch?v=jzWpatS3AKA,calm and peaceful
Sunny day,beabadoobee,1,2022,7,15,0,0,0,0,0,0,0,0,120,Unknown,Major,50,51,17,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273384d10f967c2b914de7e2713,https://open.spotify.com/track/12UQIJePnGeLmpVReYpG2w,,https://www.youtube.com/watch?v=bgr4sGq2ba0,calm and peaceful
say im ur luv,UMI,1,2022,5,26,0,0,0,0,0,0,0,0,120,Unknown,Major,50,47,21,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273a56119f59a42d53aed11496d,https://open.spotify.com/track/0Bs3Lwzs8y9BzKUgvFXPUx,,https://www.youtube.com/watch?v=eIlyMvZnyPc,calm and peaceful
High School in Jakarta,NIKI,1,2022,8,5,0,0,0,0,0,0,0,0,120,Unknown,Major,50,47,19,50,0,10,5,https://i.scdn.co/image/ab67616d0000b27389aa3d00d339b8948374782b,https://open.spotify.com/track/5rbuv6zso7QSaKt265H3M3,,https://www.youtube.com/watch?v=d4CF4km1rUQ,calm and peaceful
THE SHADE,Rex Orange County,1,2022,3,11,0,0,0,0,0,0,0,0,120,Unknown,Major,50,52,22,50,0,10,5,https://i.scdn.co/image/ab67616d0000b273761dc49441e6d2a991d46dc7,https://open.spotify.com/track/1gH1h30wkQdd9zhY3j7a8T,,https://www.youtube.com/watch?v=XwRlsNpJgD0,calm and peaceful
Too Good,Christian Kuria,1,2020,1,29,0,0,0,0,0,0,0,0,120,Unknown,Major,50,52,20,50,0,10,5,https://i.scdn.co/image/ab67616d0000b2735d9f44aad41cfdf90f4d039a,https://open.spotify.com/track/3GP7l2bmXT6T2FNAzERwBr,,https://www.youtube.com/watch?v=W7O03rIvP3w,calm and peaceful
Ride,HYBS,1,2021,10,8,0,0,0,0,0,0,0,0,120,Unknown,Major,50,48,17,50,0,10,5,https://i.scdn.co/image/ab67616d0000b2731d41de38bfa654a630cfb07a,https://open.spotify.com/track/7fyVBKYJYMP42nNr9RFTAT,,https://www.youtube.com/watch?v=qbEVGyRfS0I,calm and peaceful
Give You the World,Steve Lacy,1,2022,7,15,0,0,0,0,0,0,0,0,120,Unknown,Major,50,51,17,50,0,10,5,https://i.scdn.co/image/ab67616d0000b2736938311000a0e494a26986e5,https://open.spotify.com/track/0J119Oas2ox6JTTHUGZxHN,,https://www.youtube.com/watch?v=dXjkN4-iTU4,calm and peaceful
